crop,state,district,year,season,area_ha,temperature_avg,rainfall_mm,humidity_avg,soil_type,nitrogen_kg,phosphorus_kg,potassium_kg,ph,organic_carbon,irrigation_type,pesticide_applied,yield_kg_per_ha
rice,Karnataka,Davangere,2023,kharif,2.5,28,850,78,alluvial,120,60,40,6.5,0.8,canal,yes,5800
rice,Karnataka,Shimoga,2023,kharif,1.8,27,920,82,black,100,50,35,6.8,0.7,flood,yes,5200
rice,Tamil Nadu,Thanjavur,2023,kharif,3.2,29,780,75,alluvial,130,65,45,6.4,0.9,drip,yes,6200
rice,Andhra Pradesh,Guntur,2023,kharif,4.0,30,680,72,black,110,55,40,6.6,0.6,canal,no,4800
rice,West Bengal,Burdwan,2023,kharif,2.0,28,1100,85,alluvial,125,60,42,6.3,0.85,flood,yes,5500
wheat,Punjab,Ludhiana,2023,rabi,5.0,18,45,55,alluvial,140,70,50,7.2,0.75,tube_well,yes,5200
wheat,Haryana,Karnal,2023,rabi,4.5,17,50,52,alluvial,135,65,45,7.0,0.7,tube_well,yes,4900
wheat,Uttar Pradesh,Meerut,2023,rabi,3.5,19,55,58,alluvial,120,60,40,6.8,0.65,canal,yes,4500
wheat,Madhya Pradesh,Vidisha,2023,rabi,6.0,20,40,48,black,110,55,38,7.5,0.55,rainfed,no,3200
wheat,Rajasthan,Alwar,2023,rabi,4.0,16,35,45,arid,100,50,35,7.8,0.4,tube_well,no,2800
maize,Karnataka,Belgaum,2023,kharif,2.0,26,650,70,red,160,80,50,6.2,0.7,rainfed,yes,7500
maize,Bihar,Bhagalpur,2023,kharif,1.5,29,750,78,alluvial,140,70,45,6.5,0.65,flood,yes,6800
maize,Rajasthan,Bhilwara,2023,kharif,3.0,28,450,55,arid,120,60,40,7.2,0.45,tube_well,no,4500
maize,Andhra Pradesh,Karimnagar,2023,kharif,2.5,30,580,65,black,150,75,48,6.8,0.6,canal,yes,7200
cotton,Gujarat,Rajkot,2023,kharif,8.0,32,520,60,black,160,70,65,7.0,0.55,drip,yes,2200
cotton,Maharashtra,Nagpur,2023,kharif,6.0,31,680,65,black,150,65,60,6.8,0.6,flood,yes,2000
cotton,Telangana,Warangal,2023,kharif,5.0,30,750,70,red,140,60,55,6.5,0.5,canal,yes,1800
cotton,Punjab,Bhatinda,2023,kharif,4.0,33,380,50,alluvial,170,75,70,7.2,0.65,tube_well,yes,2400
sugarcane,Maharashtra,Kolhapur,2023,year_round,3.0,28,1200,75,black,280,120,110,7.0,0.8,drip,yes,95000
sugarcane,Uttar Pradesh,Muzaffarnagar,2023,year_round,4.0,27,950,70,alluvial,260,100,100,6.8,0.75,canal,yes,85000
sugarcane,Karnataka,Belgaum,2023,year_round,2.5,26,850,72,black,250,95,95,6.5,0.7,flood,yes,78000
sugarcane,Tamil Nadu,Erode,2023,year_round,2.0,29,750,68,red,240,90,90,6.2,0.65,drip,yes,72000
potato,Uttar Pradesh,Agra,2023,rabi,1.0,15,35,55,alluvial,200,110,160,6.5,0.8,tube_well,yes,28000
potato,West Bengal,Hooghly,2023,rabi,0.8,17,45,60,alluvial,190,105,155,6.3,0.85,flood,yes,26000
potato,Gujarat,Banaskantha,2023,rabi,1.5,18,30,48,arid,180,100,150,7.0,0.5,drip,yes,22000
potato,Punjab,Jalandhar,2023,rabi,1.2,14,40,52,alluvial,210,115,165,6.8,0.75,tube_well,yes,30000
